index,loss,correct,predicted,total_logprob,ground_truth
0,-0.0,1, yes,-0.001134573365561664, yes
1,-0.0,1, yes,-0.0008212245302274823, yes
2,0.0023086818400770426,1, yes,-0.002306325128301978, yes
3,-0.0,1, yes,-0.0005845465930178761, yes
4,-0.0,1, yes,-0.0006717416108585894, yes
5,-0.0,1, yes,-0.0012086309725418687, yes
6,-0.0,1, yes,-0.0009356469381600618, yes
7,-0.0,1, yes,-0.001088328892365098, yes
8,-0.0,1, yes,-0.0019509316189214587, yes
9,-0.0,1, yes,-0.0013274546945467591, yes
10,0.35548916459083557,1, yes,-0.021252036094665527, yes
11,-0.0,1, yes,-0.0013187421718612313, yes
12,2.445805311203003,0, no,-0.01888381689786911, yes
13,-0.0,1, yes,-0.001386245246976614, yes
14,0.006387176923453808,1, yes,-0.003211177885532379, yes
15,-0.0,1, yes,-0.0009609436383470893, yes
16,-0.0,1, yes,-0.0011722864583134651, yes
17,1.1920928244535389e-07,1, yes,-0.0011363060912117362, yes
18,-0.0,1, yes,-0.0008457439835183322, yes
19,-0.0,1, yes,-0.0016078887274488807, yes
20,7.033323527139146e-06,1, yes,-0.0007526898407377303, yes
21,-0.0,1, yes,-0.0014661075547337532, yes
22,-0.0,1, yes,-0.002210631500929594, yes
23,-0.0,1, yes,-0.0015313540352508426, yes
24,-0.0,1, yes,-0.0010425020009279251, yes
25,-0.0,1, yes,-0.0009130376856774092, yes
26,-0.0,1, yes,-0.000716657901648432, yes
27,-0.0,1, yes,-0.0019508113618940115, yes
28,1.1920928244535389e-07,1, yes,-0.0012388264294713736, yes
29,-0.0,1, yes,-0.0012189560802653432, yes
30,1.1920928244535389e-07,1, yes,-0.0015907546039670706, yes
31,-0.0,1, yes,-0.0008880386012606323, yes
32,-0.0,1, yes,-0.0028793723322451115, yes
33,2.3841855067985307e-07,1, yes,-0.0008963916334323585, yes
34,-0.0,1, yes,-0.0014997777761891484, yes
35,2.6940935640595853e-05,1, yes,-0.0011483313282951713, yes
36,-0.0,1, yes,-0.0020514458883553743, yes
37,-0.0,1, yes,-0.0015943956095725298, yes
38,-0.0,1, yes,-0.0016427558148279786, yes
39,-0.0,1, yes,-0.001161426305770874, yes
40,-0.0,1, yes,-0.0019010630203410983, yes
41,-0.0,1, yes,-0.0012707564746960998, yes
42,-0.0,1, yes,-0.0009086213540285826, yes
43,-0.0,1, yes,-0.0018042054725810885, yes
44,-0.0,1, yes,-0.0010989524889737368, yes
45,-0.0,1, yes,-0.001326381810940802, yes
46,-0.0,1, yes,-0.0017172667430713773, yes
47,5.507317473529838e-05,1, yes,-0.0015904281754046679, yes
48,-0.0,1, yes,-0.0010849873069673777, yes
49,-0.0,1, yes,-0.0016432335833087564, yes
50,-0.0,1, yes,-0.0013108631828799844, yes
51,-0.0,1, yes,-0.001133023644797504, yes
52,-0.0,1, yes,-0.0011983677977696061, yes
53,-0.0,1, yes,-0.0018203278305009007, yes
54,-0.0,1, yes,-0.0018527534557506442, yes
55,-0.0,1, yes,-0.0015397727256640792, yes
56,-0.0,1, yes,-0.0008837433415465057, yes
57,-0.0,1, yes,-0.0009405392338521779, yes
58,-0.0,1, yes,-0.0010371358366683125, yes
59,-0.0,1, yes,-0.0012698009377345443, yes
60,-0.0,1, yes,-0.0008897084626369178, yes
61,-0.0,1, yes,-0.0011739581823349, yes
62,-0.0,1, yes,-0.0010030646808445454, yes
63,-0.0,1, yes,-0.0013318120036274195, yes
64,-0.0,1, yes,-0.0008089366601780057, yes
65,-0.0,1, yes,-0.0022262234706431627, yes
66,1.1920928244535389e-07,1, yes,-0.0008435954223386943, yes
67,-0.0,1, yes,-0.0027363954577594995, yes
68,-0.0,1, yes,-0.0010085520334541798, yes
69,-0.0,1, yes,-0.0014257605653256178, yes
70,-0.0,1, yes,-0.0008912600460462272, yes
71,3.576278118089249e-07,1, yes,-0.001278157695196569, yes
72,2.1934269170742482e-05,1, yes,-0.0009989121463149786, yes
73,-0.0,1, yes,-0.0010060486383736134, yes
74,-0.0,1, yes,-0.0021134447306394577, yes
75,1.1920928244535389e-07,1, yes,-0.0007553696632385254, yes
76,0.36247965693473816,1, yes,-0.0014938712120056152, yes
77,-0.0,1, yes,-0.0009215071331709623, yes
78,-0.0,1, yes,-0.0012661017244681716, yes
79,-0.0,1, yes,-0.0006481251330114901, yes
80,-0.0,1, yes,-0.0013820672174915671, yes
81,-0.0,1, yes,-0.0013424365315586329, yes
82,-0.0,1, yes,-0.0008065496222116053, yes
83,-0.0,1, yes,-0.0020450546871870756, yes
84,-0.0,1, yes,-0.0004553769249469042, yes
85,0.026641186326742172,1, yes,0.015280061401426792, yes
86,1.1920928244535389e-07,1, yes,-0.0013468519318848848, yes
87,-0.0,1, yes,-0.0015890828799456358, yes
88,-0.0,1, yes,-0.0011940706754103303, yes
89,-0.0,1, yes,-0.0011359475320205092, yes
90,-0.0,1, yes,-0.0013146825367584825, yes
91,3.576278118089249e-07,1, yes,-0.00078847591066733, yes
92,-0.0,1, yes,-0.001067147240974009, yes
93,-0.0,1, yes,-0.0014488596934825182, yes
94,-0.0,1, yes,-0.0011780159547924995, yes
95,-0.0,1, yes,-0.0010041383793577552, yes
96,-0.0,1, yes,-0.001184104010462761, yes
97,-0.0,1, yes,-0.001203379244543612, yes
98,0.00011085849109804258,1, yes,-0.001852670800872147, yes
99,-0.0,1, yes,-0.001201351755298674, yes
100,-0.0,1, yes,-0.0011283678468316793, yes
101,-0.0,1, yes,-0.0016794138355180621, yes
102,1.6689286894688848e-06,1, yes,-0.0010610619792714715, yes
103,-0.0,1, yes,-0.001120134023949504, yes
104,-0.0,1, yes,-0.00113523134496063, yes
105,-0.0,1, yes,-0.002595471451058984, yes
106,-0.0,1, yes,-0.0009207900147885084, yes
107,-0.0,1, yes,-0.0009302187245339155, yes
108,1.1920928244535389e-07,1, yes,-0.002041231608018279, yes
109,-0.0,1, yes,-0.0011726459488272667, yes
110,-0.0,1, yes,-0.0018145955400541425, yes
111,-0.0,1, yes,-0.0010330770164728165, yes
112,-0.0,1, yes,-0.0018738326616585255, yes
113,-0.0,1, yes,-0.0011343348305672407, yes
114,-0.0,1, yes,-0.0020602853037416935, yes
115,-0.0,1, yes,-0.0027040019631385803, yes
116,-0.0,1, yes,-0.0007928895065560937, yes
117,-0.0,1, yes,-0.0006973329000174999, yes
118,-0.0,1, yes,-0.0006927982904016972, yes
119,-0.0,1, yes,-0.002375221811234951, yes
120,-0.0,1, yes,-0.0020105319563299417, yes
121,2.3841830625315197e-06,1, yes,-0.0010926288086920977, yes
122,-0.0,1, yes,-0.0010554507607594132, yes
123,-0.0,1, yes,-0.000835124053992331, yes
124,-0.0,1, yes,-0.0013064449885860085, yes
125,-0.0,1, yes,-0.0014739882899448276, yes
126,-0.0,1, yes,-0.0010932229924947023, yes
127,-0.0,1, yes,-0.0015527880750596523, yes
128,-0.0,1, yes,-0.001228980952873826, yes
129,1.0728830375228426e-06,1, yes,-0.0015676544280722737, yes
130,-0.0,1, yes,-0.0009071899694390595, yes
131,-0.0,1, yes,-0.002287577372044325, yes
132,-0.0,1, yes,-0.0013837399892508984, yes
133,-0.0,1, yes,-0.0006307676085270941, yes
134,-0.0,1, yes,-0.0015782188856974244, yes
135,-0.0,1, yes,-0.0009039684664458036, yes
136,-0.0,1, yes,-0.0009721014066599309, yes
137,-0.0,1, yes,-0.0022934298031032085, yes
138,-0.0,1, yes,-0.0010995448101311922, yes
139,2.372236667724792e-05,1, yes,-0.001521662576124072, yes
140,-0.0,1, yes,-0.000856479280628264, yes
141,-0.0,1, yes,-0.0011353505542501807, yes
142,-0.0,1, yes,-0.0011452551698312163, yes
143,0.002232917817309499,1, yes,-0.0013799471780657768, yes
144,-0.0,1, yes,-0.0016043067444115877, yes
145,7.152555099310121e-07,1, yes,-0.005414679646492004, yes
146,-0.0,1, yes,-0.0009434031089767814, yes
147,-0.0,1, yes,-0.001148598617874086, yes
148,-0.0,1, yes,-0.001131708617322147, yes
149,2.3841855067985307e-07,1, yes,-0.0012375132646411657, yes
150,15.577377319335938,0, no,-0.002286501694470644, yes
151,-0.0,1, yes,-0.0011420337250456214, yes
152,-0.0,1, yes,-0.0017103432910516858, yes
153,-0.0,1, yes,-0.0012499288422986865, yes
154,0.0016130305593833327,1, yes,-0.001693358994089067, yes
155,-0.0,1, yes,-0.0008221791358664632, yes
156,-0.0,1, yes,-0.002068708650767803, yes
157,-0.0,1, yes,-0.0012082733446732163, yes
158,-0.0,1, yes,-0.0009926211787387729, yes
159,-0.0,1, yes,-0.002077902667224407, yes
160,-0.0,1, yes,-0.0005976087995804846, yes
161,-0.0,1, yes,-0.0014859861694276333, yes
162,-0.0,1, yes,-0.0011494322679936886, yes
163,-0.0,1, yes,-0.001182672567665577, yes
164,-0.0,1, yes,-0.0008770611602813005, yes
165,-0.0,1, yes,-0.0011450195452198386, yes
166,-0.0,1, yes,-0.0008582684095017612, yes
167,-0.0,1, yes,-0.0007452275604009628, yes
168,-0.0,1, yes,-0.0014896882930770516, yes
169,-0.0,1, yes,-0.0015126710059121251, yes
170,-0.0,1, yes,-0.001438115956261754, yes
171,-0.0,1, yes,-0.0010849873069673777, yes
