index,loss,correct,predicted,total_logprob
0,-0.0,1, yes,-0.0006283824914135039
1,-0.0,1, yes,-0.0013200544053688645
2,-0.0,1, yes,-0.0006213444867171347
3,-0.0,1, yes,-0.0003299196541775018
4,-0.0,1, yes,-0.0010436968877911568
5,-0.0,1, yes,-0.0013243515277281404
6,-0.0,1, yes,-0.000883386645000428
7,-0.0,1, yes,-0.003905972931534052
8,2.861018856492592e-06,1, yes,-0.0008378705242648721
9,-0.0,1, yes,-0.0008313666330650449
10,-0.0,1, yes,-0.0009019991266541183
11,1.1920928244535389e-07,1, yes,-0.0009968592785298824
12,-0.0,1, yes,-0.0007742778980173171
13,-0.0,1, yes,-0.0008494413341395557
14,-0.0,1, yes,-0.0005904525751248002
15,-0.0,1, yes,-0.0008737204479984939
16,-0.0,1, yes,-0.001927520614117384
17,-0.0,1, yes,-0.00048489467008039355
18,-0.0,1, yes,-0.0006579058826901019
19,-0.0,1, yes,-0.0004170931060798466
20,-0.0,1, yes,-0.0011814776808023453
21,-0.0,1, yes,-0.0012220555217936635
22,-0.0,1, yes,-0.001419312902726233
23,-0.0,1, yes,-0.0014228947693482041
24,-0.0,1, yes,-0.0012339933309704065
25,0.08670495450496674,1, yes,0.02167380601167679
26,-0.0,1, yes,-0.0005302174249663949
27,-0.0,1, yes,-0.0005473328055813909
28,-0.0,1, yes,-0.0018657706677913666
29,-0.0,1, yes,-0.00163642643019557
30,-0.0,1, yes,-0.001711413380689919
31,-0.0,1, yes,-0.0013753821840509772
32,9.011816291604191e-05,1, yes,-0.0007401737384498119
33,-0.0,1, yes,-0.0007472560391761363
34,-0.0,1, yes,-0.000647648295853287
35,-0.0,1, yes,-0.0015123116318136454
36,-0.0,1, yes,-0.0005923608550801873
37,-0.0,1, yes,-0.0004278247070033103
38,-0.0,1, yes,-0.0011308741522952914
39,2.9802276912960224e-06,1, yes,-0.0007416503503918648
40,2.610649426060263e-05,1, yes,-0.0011955905938521028
41,-0.0,1, yes,-0.0010691737988963723
42,3.576278118089249e-07,1, yes,-0.000825161230750382
43,13.363183975219727,0, no,-0.002269357442855835
44,-0.0,1, yes,-0.0009449546341784298
45,-0.0,1, yes,-0.0008585077594034374
46,-0.0,1, yes,-0.0015358914388343692
47,-0.0,1, yes,-0.000761155562940985
48,0.0011247029760852456,1, yes,-0.0007736736442893744
49,-0.0,1, yes,-0.0009076667483896017
50,-0.0,1, yes,-0.0008326779352501035
51,7.781753063201904,0, no,-0.0014875013148412108
52,-0.0,1, yes,-0.004585367161780596
53,0.00021896349790040404,1, yes,-0.0012525176862254739
54,-0.0,1, yes,-0.0012974338605999947
55,-0.0,1, yes,-0.00029724615160375834
56,-0.0,1, yes,-0.0007696259999647737
57,-0.0,1, yes,-0.0027335279155522585
58,-0.0,1, yes,-0.0019925558008253574
59,9.65590606938349e-06,1, yes,-0.0008202792960219085
60,4.6491513785440475e-06,1, yes,-0.001386252697557211
61,2.3841855067985307e-07,1, yes,-0.000956529111135751
62,-0.0,1, yes,-0.0008322001085616648
63,-0.0,1, yes,-0.0016139205545186996
64,-0.0,1, yes,-0.0011493138736113906
65,-0.0,1, yes,-0.000933320086915046
66,-0.0,1, yes,-0.0010723989689722657
67,3.576278118089249e-07,1, yes,-0.0007820321479812264
68,-0.0,1, yes,-0.0008398961508646607
69,-0.0,1, yes,-0.0015725484117865562
70,-0.0,1, yes,-0.0006997180171310902
71,-0.0,1, yes,-0.0016179801896214485
72,2.50339189733495e-06,1, yes,-0.0009073110413737595
73,-0.0,1, yes,-0.0014556649839505553
74,-0.0,1, yes,-0.000696615781635046
75,-0.0,1, yes,-0.0030893906950950623
76,-0.0,1, yes,-0.002943214727565646
77,2.264974000354414e-06,1, yes,-0.0008858937653712928
78,-0.0,1, yes,-0.0015892010414972901
79,-0.0,1, yes,-0.0015440707793459296
80,-0.0,1, yes,-0.0017835438484326005
81,-0.0,1, yes,-0.001475062221288681
82,-0.0,1, yes,-0.0006561177433468401
83,-0.0,1, yes,-0.0009172109421342611
84,-0.0,1, yes,-0.000551624340005219
85,-0.0,1, yes,-0.0013064449885860085
86,-0.0,1, yes,-0.00034667455474846065
87,-0.0,1, yes,-0.00039175141137093306
88,-0.0,1, yes,-0.0009721014066599309
89,-0.0,1, yes,-0.0016349931247532368
90,0.00010883215873036534,1, yes,-0.000850799260661006
91,-0.0,1, yes,-0.0019421513425186276
92,-0.0,1, yes,-0.0010685805464163423
93,-0.0,1, yes,-0.0011862526880577207
94,-0.0,1, yes,-0.0009327230509370565
95,-0.0,1, yes,-0.0010195313952863216
96,-0.0,1, yes,-0.0012917034327983856
97,-0.0,1, yes,-0.0006627971888519824
98,1.1920922133867862e-06,1, yes,-0.0009185260278172791
99,-0.0,1, yes,-0.0003953295527026057
100,-0.0,1, yes,-0.0009375561494380236
101,-0.0,1, yes,-0.00189837662037462
102,-0.0,1, yes,-0.0009543805499561131
103,8.44595718383789,0, no,-0.0004457382601685822
104,-0.0,1, yes,-0.0026832041330635548
105,-0.0,1, yes,-0.0008416861528530717
106,-0.0,1, yes,-0.0016635928768664598
107,-0.0,1, yes,-0.002052519703283906
108,-0.0,1, yes,-0.0006427560583688319
109,-0.0,1, yes,-0.0015662182122468948
110,1.1920928244535389e-07,1, yes,-0.0002966491738334298
111,-0.0,1, yes,-0.0009362430428154767
112,-0.0,1, yes,-0.001333126099780202
113,13.105839729309082,0, no,-0.000663871003780514
114,-0.0,1, yes,-0.000966313702519983
115,-0.0,1, yes,-0.0018068336648866534
116,-0.0,1, yes,-0.0005470934556797147
117,-0.0,1, yes,-0.001161426305770874
118,-0.0,1, yes,-0.0013204129645600915
119,14.540005683898926,0, no,-0.0014837193302810192
120,-0.0,1, yes,-0.0013996753841638565
121,-0.0,1, yes,-0.000971384288277477
122,-0.0,1, yes,-0.0010184594430029392
123,-0.0,1, yes,-0.002223115647211671
124,-0.0,1, yes,-0.0013374232221394777
125,-0.0,1, yes,-0.0006741285906173289
126,0.00016139635408762842,1, yes,-0.0018433413933962584
127,-0.0,1, yes,-0.0011931151384487748
128,-0.0,1, yes,-0.0004831065598409623
129,-0.0,1, yes,-0.0004448809486348182
130,1.1920928244535389e-07,1, yes,-0.0009269964066334069
131,-0.0,1, yes,-0.0008156179683282971
132,-0.0,1, yes,-0.001605858327820897
133,-0.0,1, yes,-0.0004760084848385304
