index,loss,correct,predicted,total_logprob,ground_truth
0,6.198863957251888e-06,1, yes,-0.0005591429071500897, yes
1,-0.0,1, yes,-0.0009595121373422444, yes
2,0.02272270806133747,1, yes,-0.006159571930766106, yes
3,1.1920928244535389e-07,1, yes,-0.0005928367027081549, yes
4,-0.0,1, yes,-0.0006701928214170039, yes
5,-0.0,1, yes,-0.0010061669163405895, yes
6,-0.0,1, yes,-0.000863638415466994, yes
7,0.3073537349700928,1, yes,-0.012707710266113281, yes
8,1.1920928244535389e-07,1, yes,-0.0009799738181754947, yes
9,1.1920928244535389e-07,1, yes,-0.0007498795748688281, yes
10,16.586929321289062,0, no,-0.003390716854482889, yes
11,0.02646624483168125,1, yes,-0.009209336712956429, yes
12,14.262948989868164,0, no,-0.001513986149802804, yes
13,-0.0,1, yes,-0.0009296208154410124, yes
14,-0.0,1, yes,-0.000648958666715771, yes
15,-0.0,1, yes,-0.0005056445370428264, yes
16,-0.0,1, yes,-0.0010720394784584641, yes
17,0.004244367592036724,1, yes,-0.0022233263589441776, yes
18,1.1920928244535389e-07,1, yes,-0.0011563574662432075, yes
19,4.768370445162873e-07,1, yes,-0.0008240874158218503, yes
20,9.536738616588991e-07,1, yes,-0.0008339910418726504, yes
21,-0.0,1, yes,-0.0006294563063420355, yes
22,-0.0,1, yes,-0.001560727134346962, yes
23,-0.0,1, yes,-0.0031267001759260893, yes
24,-0.0,1, yes,-0.0010377317667007446, yes
25,-0.0,1, yes,-0.00057715002913028, yes
26,-0.0,1, yes,-0.0005485248984768987, yes
27,-0.0,1, yes,-0.0004803628835361451, yes
28,0.45001307129859924,1, yes,0.10738405585289001, yes
29,-0.0,1, yes,-0.0008503959397785366, yes
30,-0.0,1, yes,-0.0015837118262425065, yes
31,-0.0,1, yes,-0.001275292132049799, yes
32,-0.0,1, yes,-0.0014730347320437431, yes
33,5.245195097813848e-06,1, yes,-0.0005784678505733609, yes
34,-0.0,1, yes,-0.0008316050516441464, yes
35,1.1920928244535389e-07,1, yes,-0.0008893508929759264, yes
36,1.1920928244535389e-07,1, yes,-0.0038032943848520517, yes
37,-0.0,1, yes,-0.0013693541986867785, yes
38,1.1920928244535389e-07,1, yes,-0.0014123275177553296, yes
39,3.576278118089249e-07,1, yes,-0.0011706175282597542, yes
40,-0.0,1, yes,-0.0007183286361396313, yes
41,-0.0,1, yes,-0.0019847324583679438, yes
42,-0.0,1, yes,-0.003096506465226412, yes
43,-0.0,1, yes,-0.001694998238235712, yes
44,-0.0,1, yes,-0.0005039746756665409, yes
45,-0.0,1, yes,-0.001581443240866065, yes
46,-0.0,1, yes,-0.0007052054279483855, yes
47,4.410734163684538e-06,1, yes,-0.001029263366945088, yes
48,1.1920928244535389e-07,1, yes,-0.0011275334982201457, yes
49,-0.0,1, yes,-0.0008824320393614471, yes
50,2.50339189733495e-06,1, yes,-0.0015554772689938545, yes
51,-0.0,1, yes,-0.0010908369440585375, yes
52,-0.0,1, yes,-0.0008271887199953198, yes
53,1.8596476365928538e-05,1, yes,-0.004431095439940691, yes
54,-0.0,1, yes,-0.0021531665697693825, yes
55,-0.0,1, yes,-0.0011196562554687262, yes
56,-0.0,1, yes,-0.0015407282626256347, yes
57,1.1920928244535389e-07,1, yes,-0.0007576346397399902, yes
58,-0.0,1, yes,-0.0010107015259563923, yes
59,-0.0,1, yes,-0.002046250505372882, yes
60,-0.0,1, yes,-0.0007831068942323327, yes
61,-0.0,1, yes,-0.000825996627099812, yes
62,0.00014554394874721766,1, yes,-0.0014671817189082503, yes
63,1.1920928244535389e-07,1, yes,-0.0028988607227802277, yes
64,3.576278118089249e-07,1, yes,-0.0005311710992828012, yes
65,1.1920928244535389e-07,1, yes,-0.0030809608288109303, yes
66,4.768370445162873e-07,1, yes,-0.00099650165066123, yes
67,-0.0,1, yes,-0.0009351691696792841, yes
68,2.3841855067985307e-07,1, yes,-0.0018792083719745278, yes
69,1.1920928244535389e-07,1, yes,-0.0011826716363430023, yes
70,-0.0,1, yes,-0.0004649182956200093, yes
71,2.264974000354414e-06,1, yes,-0.0010343929752707481, yes
72,-0.0,1, yes,-0.0009666712139733136, yes
73,-0.0,1, yes,-0.0015284883556887507, yes
74,-0.0,1, yes,-0.0017922030529007316, yes
75,1.4305104514278355e-06,1, yes,-0.0007192842313088477, yes
76,3.764834403991699,0, no,-0.003592519089579582, yes
77,-0.0,1, yes,-0.0006863573216833174, yes
78,-0.0,1, yes,-0.0007795259007252753, yes
79,1.311301275563892e-06,1, yes,-0.0014508918393403292, yes
80,1.1920928244535389e-07,1, yes,-0.0013837381266057491, yes
81,9.536738616588991e-07,1, yes,-0.0009922654135152698, yes
82,4.768370445162873e-07,1, yes,-0.0008724091458134353, yes
83,-0.0,1, yes,-0.0010669078910723329, yes
84,-0.0,1, yes,-0.001994825666770339, yes
85,0.00753879826515913,1, yes,-0.002286456525325775, yes
86,5.960462772236497e-07,1, yes,-0.0013152804458513856, yes
87,2.3841855067985307e-07,1, yes,-0.0020569416228681803, yes
88,1.1920928244535389e-07,1, yes,-0.002177000744268298, yes
89,1.1920928244535389e-07,1, yes,-0.0011980092385783792, yes
90,-0.0,1, yes,-0.0011089143808931112, yes
91,0.00023016665363684297,1, yes,-0.0006907435017637908, yes
92,-0.0,1, yes,-0.0009754420025274158, yes
93,1.1920928244535389e-07,1, yes,-0.004440890159457922, yes
94,-0.0,1, yes,-0.0017253279220312834, yes
95,1.1920928244535389e-07,1, yes,-0.0008565994794480503, yes
96,9.536738616588991e-07,1, yes,-0.0013097893679514527, yes
97,-0.0,1, yes,-0.0010882104979828, yes
98,4.851700214203447e-05,1, yes,-0.0013895989395678043, yes
99,-0.0,1, yes,-0.0008869648445397615, yes
100,-0.0,1, yes,-0.001148240058682859, yes
101,1.1920928244535389e-07,1, yes,-0.0008608946809545159, yes
102,0.0002588890492916107,1, yes,-0.0011740343179553747, yes
103,1.1920928244535389e-07,1, yes,-0.0019140830263495445, yes
104,-0.0,1, yes,-0.0025262723211199045, yes
105,-0.0,1, yes,-0.0003391606733202934, yes
106,-0.0,1, yes,-0.0010572398314252496, yes
107,-0.0,1, yes,-0.0009054008405655622, yes
108,2.3841855067985307e-07,1, yes,-0.0009732943726703525, yes
109,-0.0,1, yes,-0.0003624167002271861, yes
110,-0.0,1, yes,-0.0008600592846050858, yes
111,0.17624585330486298,1, yes,-0.02772967517375946, yes
112,1.1920928244535389e-07,1, yes,-0.001043815165758133, yes
113,-0.0,1, yes,-0.0014027805300429463, yes
114,1.1920928244535389e-07,1, yes,-0.0019438250456005335, yes
115,-0.0,1, yes,-0.00044989053276367486, yes
116,3.576278118089249e-07,1, yes,-0.0012270697625353932, yes
117,-0.0,1, yes,-0.0010519317584112287, yes
118,5.960462772236497e-07,1, yes,-0.0006819437840022147, yes
119,-0.0,1, yes,-0.0012810224434360862, yes
120,-0.0,1, yes,-0.0008033263147808611, yes
121,0.006980436854064465,1, yes,-0.005685343407094479, yes
122,-0.0,1, yes,-0.0011838646605610847, yes
123,-0.0,1, yes,-0.0006717416108585894, yes
124,-0.0,1, yes,-0.002611309289932251, yes
125,3.576278118089249e-07,1, yes,-0.0008681730832904577, yes
